Library Name,Workspace Setup (0-5),WiFi Quality (0-5),Power Outlets (0-5),Conference Areas,Cafe,Food Options Nearby,Lockers,Meeting Rooms,Time Limits,Phone Call Policy,Professional Atmosphere,Ventilation,Cell Reception
Staatsbibliothek zu Berlin,5,4,4,Yes,Yes,Many,Yes,Yes,4h+,Designated areas,5,4,4
Amerika-Gedenkbibliothek,4,4,3,Limited,Yes,Many,Yes,No,,Designated areas,4,3,4
Zentral- und Landesbibliothek Berlin,5,4,4,Yes,Yes,Many,Yes,Yes,,Designated areas,5,4,4
Universitätsbibliothek der Humboldt-Universität,5,5,5,Yes,Yes,Many,Yes,Yes,,Designated areas,5,4,4
Philologische Bibliothek der Freien Universität Berlin,4,5,4,Limited,No,Some,Yes,Limited,,Designated areas,5,4,4
Stadtbibliothek Friedrichshain-Kreuzberg,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Stadtbibliothek Mitte - Philipp-Schaeffer-Bibliothek,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Stadtbibliothek Pankow,3,3,3,No,No,Some,Yes,No,,No,3,3,4
Stadtbibliothek Charlottenburg-Wilmersdorf,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Stadtbibliothek Spandau,3,3,3,No,No,Some,Yes,No,,No,3,3,4
Philipp-Schaeffer-Bibliothek,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Bruno-Lösche-Bibliothek,3,3,3,No,No,Some,Yes,No,,No,3,3,4
Bibliothek am Luisenbad,3,3,2,No,No,Some,No,No,,No,3,3,3
Bezirkszentralbibliothek Pablo Neruda,4,3,3,Limited,No,Some,Yes,No,,Designated areas,4,3,4
Heinrich-Böll-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Kurt-Tucholsky-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Hansabibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Tiergarten-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Bibliothek am Frankfurter Tor,3,3,3,No,No,Many,Yes,No,,No,3,3,4
Familienbibliothek am Kotti,3,3,2,No,No,Many,No,No,,No,3,3,3
Heinrich-Heine-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Janusz-Korczak-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Bibliothek am Wasserturm,3,3,2,No,No,Some,No,No,,No,3,3,3
Wolfdietrich-Schnurre-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Dietrich-Bonhoeffer-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Heinrich-Schulz-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Stadtteilbibliothek Halemweg,3,3,2,No,No,Some,No,No,,No,3,3,3
